timestamp,temperature,humidity,soil_moisture,battery_voltage,mode,mist_status,pump_status
2026-05-10 10:00:00,29.6,56.6,1801,7.4,0,1,0
2026-05-10 10:00:05,29.4,57.5,1802,7.5,0,1,0
2026-05-10 10:00:10,29.8,57.8,1803,7.3,0,1,0
2026-05-10 10:00:15,29.5,58.4,1804,7.5,0,1,0
2026-05-10 10:00:20,29.1,55.3,1806,7.4,0,1,0
2026-05-10 10:00:25,29.6,54.5,1807,7.6,0,1,0
2026-05-10 10:00:30,29.4,59.6,1808,7.3,0,1,0
2026-05-10 10:00:35,29.6,58.6,1810,7.6,0,1,0
2026-05-10 10:00:40,29.7,57.4,1811,7.3,0,1,0
2026-05-10 10:00:45,29.4,55.9,1813,7.6,0,1,0
2026-05-10 10:00:50,29.4,54.5,1815,7.5,0,1,0
2026-05-10 10:00:55,29.8,52.5,1816,7.5,0,1,0
2026-05-10 10:01:00,29.7,57.7,1816,7.5,0,1,0
2026-05-10 10:01:05,29.5,54.0,1818,7.5,0,1,0
2026-05-10 10:01:10,30.2,54.4,1819,7.3,0,1,0
2026-05-10 10:01:15,29.9,54.2,1820,7.3,0,1,0
2026-05-10 10:01:20,29.9,55.8,1821,7.5,0,1,0
2026-05-10 10:01:25,30.1,56.2,1822,7.5,0,1,0
2026-05-10 10:01:30,29.5,56.2,1822,7.6,0,1,0
2026-05-10 10:01:35,29.4,59.1,1822,7.2,0,1,0
2026-05-10 10:01:40,29.8,56.8,1823,7.3,0,1,0
2026-05-10 10:01:45,30.2,57.6,1825,7.4,0,1,0
2026-05-10 10:01:50,30.0,52.8,1826,7.3,0,1,0
2026-05-10 10:01:55,29.7,57.0,1828,7.4,0,1,0
2026-05-10 10:02:00,29.5,58.2,1829,7.4,0,1,0
2026-05-10 10:02:05,29.6,56.5,1829,7.5,0,1,0
2026-05-10 10:02:10,30.4,57.7,1831,7.4,0,1,0
2026-05-10 10:02:15,29.4,56.8,1832,7.3,0,1,0
2026-05-10 10:02:20,30.2,56.5,1833,7.3,0,1,0
2026-05-10 10:02:25,30.1,61.0,1834,7.3,0,1,0
2026-05-10 10:02:30,29.8,55.2,1835,7.5,0,1,0
2026-05-10 10:02:35,29.8,56.3,1836,7.3,0,1,0
2026-05-10 10:02:40,29.8,58.2,1837,7.4,0,1,0
2026-05-10 10:02:45,29.4,60.8,1839,7.2,0,1,0
2026-05-10 10:02:50,29.7,57.2,1840,7.2,0,1,0
2026-05-10 10:02:55,29.2,55.9,1841,7.4,0,1,0
2026-05-10 10:03:00,29.4,57.5,1842,7.4,0,1,0
2026-05-10 10:03:05,29.6,55.4,1843,7.3,0,1,0
2026-05-10 10:03:10,30.0,57.9,1845,7.3,0,1,0
2026-05-10 10:03:15,29.6,58.4,1846,7.4,0,1,0
2026-05-10 10:03:20,29.6,55.7,1847,7.2,0,1,0
2026-05-10 10:03:25,30.0,58.3,1849,7.2,0,1,0
2026-05-10 10:03:30,30.0,55.8,1850,7.4,0,1,0
2026-05-10 10:03:35,30.1,55.6,1852,7.3,0,1,0
2026-05-10 10:03:40,29.8,58.4,1853,7.4,0,1,0
2026-05-10 10:03:45,29.7,56.4,1855,7.5,0,1,0
2026-05-10 10:03:50,29.8,56.7,1856,7.3,0,1,0
2026-05-10 10:03:55,29.7,55.7,1857,7.4,0,1,0
